asn,conglomerate,org_id,org_name,ownership_cc,ownership_country_name,rir,source,quote,quote_lang,url,additional_info,inputs,parent_org,target_cc,target_country_name
136196,CN-TELECOM,@aut-136196-APNIC,Nujiang,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2055,,W,,,
136197,CN-TELECOM,@aut-136197-APNIC,"Xiong'an, Hebei Province, P.R.China.",CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2056,,W,,,
137686,CN-TELECOM,@aut-137686-APNIC,China Telecom,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2057,,"G, E, W",,,
137687,CN-TELECOM,@aut-137687-APNIC,"Luoyang, Henan Province, P.R.China.",CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2058,,W,,,
137688,CN-TELECOM,@aut-137688-APNIC,BengBu,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2059,,W,,,
137689,CN-TELECOM,@aut-137689-APNIC,"IOT Jiangsu network, Chinatelecom, P.R.China.",CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2060,,W,,,
137690,CN-TELECOM,@aut-137690-APNIC,"Zaozhuang,Shandong Province, P.R.China.",CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2061,,W,,,
137691,CN-TELECOM,@aut-137691-APNIC,"Heilongjiang Province, P.R.China.",CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2062,,W,,,
137692,CN-TELECOM,@aut-137692-APNIC,"IOT Guangdong network, Chinatelecom, P.R.China.",CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2063,,W,,,
137693,CN-TELECOM,@aut-137693-APNIC,"CHINATELECOM Guangxi Nanning IDC networkdescr: Nanning , Guangxi Province, P.R.China.",CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2064,,W,,,
137694,CN-TELECOM,@aut-137694-APNIC,CHINATELECOM Xinjiang Kezhou MAN network,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2065,,W,,,
137695,CN-TELECOM,@aut-137695-APNIC,CHINATELECOM Xinjiang Wulumuqi MAN network,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2066,,W,,,
137696,CN-TELECOM,@aut-137696-APNIC,"Wuxi , Jiangsu Province, P.R.China.",CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2067,,W,,,
137697,CN-TELECOM,@aut-137697-APNIC,"CHINATELECOM JiangSu YangZhou IDC networkdescr: YangZhou , Jiangsu Province, P.R.China.",CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2068,,W,,,
137698,CN-TELECOM,@aut-137698-APNIC,"Haerbing , Heilongjiang Province, P.R.China.",CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2069,,W,,,
137699,CN-TELECOM,@aut-137699-APNIC,CHINATELECOM Jiangsu Suqian IDC network,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2070,,W,,,
137700,CN-TELECOM,@aut-137700-APNIC,"CHINANET 5G IOT, Guangzhou node",CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2071,,W,,,
17442,CN-TELECOM,@aut-17442-APNIC,Internet Service Provider in China,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2072,,W,,,
17633,CN-TELECOM,@aut-17633-APNIC,Shandong Provincial Net of CT,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2073,,W,,,
17638,CN-TELECOM,@aut-17638-APNIC,TIANJIN Provincial Net of CT,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2074,,W,,,
17672,CN-TELECOM,@aut-17672-APNIC,Hebei Provincial Net of CT,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2075,,W,,,
17777,CN-TELECOM,@aut-17777-APNIC,China Telecommunications Broadcast Satellite Corp.,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2076,,W,,,
17785,CN-TELECOM,@aut-17785-APNIC,Henan Provincial Net of CT,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2077,,W,,,
17799,CN-TELECOM,@aut-17799-APNIC,Liaoning Provincial Net of CT,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2078,,W,,,
17883,CN-TELECOM,@aut-17883-APNIC,Shanxi Provincial Net of CT,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2079,,W,,,
17896,CN-TELECOM,@aut-17896-APNIC,Jilin Provincial Net of CT,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2080,,W,,,
17897,CN-TELECOM,@aut-17897-APNIC,Heilongjiang Provincial Net of CT,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2081,,W,,,
17923,CN-TELECOM,@aut-17923-APNIC,Neimenggu Provincial Net of CT,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2082,,W,,,
17998,CN-TELECOM,@aut-17998-APNIC,China Telecom,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2083,,"G, E, W",,,
23650,CN-TELECOM,@aut-23650-APNIC,China Telecom,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2084,,"G, E, W",,,
23724,CN-TELECOM,@aut-23724-APNIC,China Telecom,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2085,,"G, E, W",,,
38283,CN-TELECOM,@aut-38283-APNIC,China Telecom,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2086,,"G, E, W",,,
4134,CN-TELECOM,@aut-4134-APNIC,China Telecom,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2087,,"G, E, W, O",,,
45256,CN-TELECOM,@aut-4134-APNIC,China Telecom,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2088,,"G, E, W, O",,,
4809,CN-TELECOM,@aut-4809-APNIC,China Telecom,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2019,,"G, E, W, O",,,
4810,CN-TELECOM,@aut-4810-APNIC,China Telecom,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2020,,"G, E, W",,,
4811,CN-TELECOM,@aut-4811-APNIC,China Telecom,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2021,,"G, E, W",,,
4812,CN-TELECOM,@aut-4811-APNIC,China Telecom,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2022,,"G, E, W",,,
4813,CN-TELECOM,@aut-4813-APNIC,China Telecom,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2023,,"G, E, W",,,
4815,CN-TELECOM,@aut-4835-APNIC,China Telecom,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2024,,"G, E, W, O",,,
4816,CN-TELECOM,@aut-4835-APNIC,China Telecom,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2025,,"G, E, W, O",,,
4835,CN-TELECOM,@aut-4835-APNIC,China Telecom,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2026,,"G, E, W, O",,,
55877,CN-TELECOM,@aut-55877-APNIC,"No.473, North Branch Way Suanglin Road, Chengdu City, Sichuan Province, P.R.China.",CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2027,,W,,,
58517,CN-TELECOM,@aut-58517-APNIC,China Telecom,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2028,,"G, E, W",,,
58518,CN-TELECOM,@aut-58518-APNIC,China Telecom,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2029,,"G, E, W",,,
58519,CN-TELECOM,@aut-58519-APNIC,Cloud Computing Corporation,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2030,,W,,,
58520,CN-TELECOM,@aut-58520-APNIC,Nanton,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2031,,W,,,
58539,CN-TELECOM,@aut-58539-APNIC,"Langfang,Hebei province, P.R.China",CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2032,,W,,,
58540,CN-TELECOM,@aut-58540-APNIC,"Jinan,250000",CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2033,,W,,,
58541,CN-TELECOM,@aut-58541-APNIC,"Qingdao,266000",CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2034,,W,,,
58542,CN-TELECOM,@aut-58542-APNIC,"Tianjij,300000",CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2035,,W,,,
58543,CN-TELECOM,@aut-58543-APNIC,Guangdong,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2036,,W,,,
58563,CN-TELECOM,@aut-58563-APNIC,China Telecom,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2037,,"G, E, W",,,
58564,CN-TELECOM,@aut-58564-APNIC,China Telecom,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2038,,"G, E, W",,,
58565,CN-TELECOM,@aut-58565-APNIC,China Telecom,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2039,,"G, E, W",,,
58566,CN-TELECOM,@aut-58566-APNIC,CHINATELECOM-LTE-InternationalExchange-SHANGHAI network,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2040,,W,,,
58567,CN-TELECOM,@aut-58571-APNIC,China Telecom,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2041,,"G, E, W",,,
58568,CN-TELECOM,@aut-58571-APNIC,China Telecom,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2042,,"G, E, W",,,
58569,CN-TELECOM,@aut-58571-APNIC,China Telecom,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2043,,"G, E, W",,,
58570,CN-TELECOM,@aut-58571-APNIC,China Telecom,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2044,,"G, E, W",,,
58571,CN-TELECOM,@aut-58571-APNIC,China Telecom,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2045,,"G, E, W",,,
58572,CN-TELECOM,@aut-58571-APNIC,China Telecom,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2046,,"G, E, W",,,
58573,CN-TELECOM,@aut-58571-APNIC,China Telecom,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2047,,"G, E, W",,,
58574,CN-TELECOM,@aut-58571-APNIC,China Telecom,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2048,,"G, E, W",,,
59265,CN-TELECOM,@aut-59265-APNIC,China Telecom,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2019,,"G, E, W",,,
63659,CN-UNICOM,@aut-63659-APNIC,CHINA UNICOM CLOUD DATA COMPANY LIMITED Shanghai Branch,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2019,,W,,,
63810,CN-TELECOM,@aut-63810-APNIC,China Telecom,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2019,,"G, E, W",,,
63811,CN-TELECOM,@aut-63811-APNIC,China Telecom,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2020,,"G, E, W",,,
63812,CN-TELECOM,@aut-63812-APNIC,China Telecom,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2021,,"G, E, W",,,
63813,CN-TELECOM,@aut-63813-APNIC,China Telecom,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2022,,"G, E, W",,,
63814,CN-TELECOM,@aut-63814-APNIC,China Telecom,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2023,,"G, E, W",,,
63815,CN-TELECOM,@aut-63815-APNIC,China Telecom,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2024,,"G, E, W",,,
63816,CN-TELECOM,@aut-63816-APNIC,China Telecom,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2025,,"G, E, W",,,
63817,CN-TELECOM,@aut-63817-APNIC,China Telecom,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2026,,"G, E, W",,,
63818,CN-TELECOM,@aut-63818-APNIC,China Telecom,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2027,,"G, E, W",,,
63819,CN-TELECOM,@aut-63819-APNIC,China Telecom,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2028,,"G, E, W",,,
63820,CN-TELECOM,@aut-63820-APNIC,China Telecom,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2029,,"G, E, W",,,
63821,CN-TELECOM,@aut-63821-APNIC,China Telecom,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2030,,"G, E, W",,,
63822,CN-TELECOM,@aut-63822-APNIC,China Telecom,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2031,,"G, E, W",,,
63823,CN-TELECOM,@aut-63823-APNIC,China Telecom,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2032,,"G, E, W",,,
63824,CN-TELECOM,@aut-63824-APNIC,China Telecom,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2033,,"G, E, W",,,
63825,CN-TELECOM,@aut-63825-APNIC,China Telecom,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2019,,"G, E, W",,,
9800,CN-UNICOM,@aut-9800-APNIC,CHINA UNICOM,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2020,,W,,,
4659,CN-UNICOM,@aut-9929-APNIC,CHINA UNICOM Industrial Internet Backbone,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2021,,"G, E, W, O",,,
4799,CN-UNICOM,@aut-9929-APNIC,CHINA UNICOM Industrial Internet Backbone,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2022,,"G, E, W, O",,,
4814,CN-UNICOM,@aut-9929-APNIC,CHINA UNICOM Industrial Internet Backbone,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2023,,"G, E, W, O",,,
4837,CN-UNICOM,@aut-9929-APNIC,CHINA UNICOM Industrial Internet Backbone,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2024,,"G, E, W, O",,,
9929,CN-UNICOM,@aut-9929-APNIC,CHINA UNICOM Industrial Internet Backbone,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2025,,"G, E, W, O",,,
17620,CN-UNICOM,@aut-9929-APNIC,CHINA UNICOM Industrial Internet Backbone,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2026,,"G, E, W, O",,,
17788,CN-UNICOM,@aut-9929-APNIC,CHINA UNICOM Industrial Internet Backbone,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2027,,"G, E, W, O",,,
17789,CN-UNICOM,@aut-9929-APNIC,CHINA UNICOM Industrial Internet Backbone,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2028,,"G, E, W, O",,,
17790,CN-UNICOM,@aut-9929-APNIC,CHINA UNICOM Industrial Internet Backbone,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2029,,"G, E, W, O",,,
17791,CN-UNICOM,@aut-9929-APNIC,CHINA UNICOM Industrial Internet Backbone,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2030,,"G, E, W, O",,,
4808,CN-UNICOM,@family-14357,China Unicom,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2031,,"W, O",,,
10206,CN-UNICOM,@family-14357,China Unicom,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2032,,"W, O",,,
17621,CN-UNICOM,@family-14357,China Unicom,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2033,,"W, O",,,
17622,CN-UNICOM,@family-14357,China Unicom,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2034,,"W, O",,,
17623,CN-UNICOM,@family-14357,China Unicom,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2035,,"W, O",,,
17816,CN-UNICOM,@family-14357,China Unicom,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2036,,"W, O",,,
63836,CN-UNICOM,@family-14357,China Unicom,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2037,,"W, O",,,
63837,CN-UNICOM,@family-14357,China Unicom,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2038,,"W, O",,,
133118,CN-UNICOM,@family-14357,China Unicom,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2039,,"W, O",,,
133119,CN-UNICOM,@family-14357,China Unicom,CN,China,APNIC,Freedom House,"state-owned mobile providers China Telecom, China Mobile, and China Unicom canceled the national data roaming fee as of July 2018.",English,https://freedomhouse.org/country/china/freedom-net/2040,,"W, O",,,
